=== L9_chi1009quad_q1009 (even quadratic (Legendre) character mod 1009 -- large conduc) ===
L9_chi1009quad_q1009: branch +1, reality residual 1.47e-30
L9_chi1009quad_q1009: 25 zeros, t ~ 21.58676474
L9_chi1009quad_q1009: 50 zeros, t ~ 40.1357746
L9_chi1009quad_q1009: 75 zeros, t ~ 57.75270236
L9_chi1009quad_q1009: 100 zeros, t ~ 75.15873018
L9_chi1009quad_q1009: 125 zeros, t ~ 91.40722682
L9_chi1009quad_q1009: 150 zeros, t ~ 107.2153534
L9_chi1009quad_q1009: 175 zeros, t ~ 123.3219654
L9_chi1009quad_q1009: 200 zeros, t ~ 139.3583367
L9_chi1009quad_q1009: 225 zeros, t ~ 154.9040906
L9_chi1009quad_q1009: 250 zeros, t ~ 169.9244761
L9_chi1009quad_q1009: 275 zeros, t ~ 185.6880429
